policy,subject,trial,true_label,decoded,confidence,abstained,correct,unsafe_action,intent,latency_ms,trial_duration_s
Policy_A_Direct,1,1,1,1,0.7908211946487427,False,True,False,CLASS_1,190.579,4.5
Policy_A_Direct,1,2,0,0,0.9728135466575623,False,True,False,CLASS_0,2.07,4.5
Policy_A_Direct,1,3,1,1,0.6677310466766357,False,True,False,CLASS_1,1.736,4.5
Policy_A_Direct,1,4,0,0,0.9529657959938049,False,True,False,CLASS_0,1.71,4.5
Policy_A_Direct,1,5,0,0,0.6686614155769348,False,True,False,CLASS_0,1.679,4.5
Policy_A_Direct,1,6,0,1,0.7300199270248413,False,False,True,CLASS_1,1.596,4.5
Policy_A_Direct,1,7,1,0,0.5170305967330933,False,False,True,CLASS_0,1.673,4.5
Policy_A_Direct,1,8,0,1,0.6927056908607483,False,False,True,CLASS_1,1.664,4.5
Policy_A_Direct,1,9,0,1,0.7141453623771667,False,False,True,CLASS_1,1.809,4.5
Policy_A_Direct,1,10,0,0,0.7862574458122253,False,True,False,CLASS_0,1.741,4.5
Policy_A_Direct,1,11,1,1,0.9652962684631348,False,True,False,CLASS_1,1.722,4.5
Policy_A_Direct,1,12,0,1,0.9406419396400452,False,False,True,CLASS_1,1.729,4.5
Policy_A_Direct,1,13,1,1,0.9663243889808655,False,True,False,CLASS_1,1.721,4.5
Policy_A_Direct,1,14,0,0,0.6689632534980774,False,True,False,CLASS_0,1.658,4.5
Policy_A_Direct,1,15,1,1,0.9188159704208374,False,True,False,CLASS_1,1.702,4.5
Policy_A_Direct,1,16,0,0,0.9963777661323547,False,True,False,CLASS_0,1.677,4.5
Policy_A_Direct,1,17,0,0,0.8789838552474976,False,True,False,CLASS_0,1.692,4.5
Policy_A_Direct,1,18,0,0,0.7072550654411316,False,True,False,CLASS_0,1.697,4.5
Policy_A_Direct,1,19,0,1,0.899572491645813,False,False,True,CLASS_1,1.698,4.5
Policy_A_Direct,1,20,0,0,0.921517014503479,False,True,False,CLASS_0,1.711,4.5
Policy_A_Direct,1,21,1,1,0.8966516256332397,False,True,False,CLASS_1,1.739,4.5
Policy_A_Direct,1,22,1,1,0.9867638945579529,False,True,False,CLASS_1,1.761,4.5
Policy_A_Direct,1,23,1,1,0.8604635000228882,False,True,False,CLASS_1,1.702,4.5
Policy_A_Direct,1,24,0,1,0.8295392394065857,False,False,True,CLASS_1,1.707,4.5
Policy_A_Direct,1,25,1,1,0.9796110391616821,False,True,False,CLASS_1,1.787,4.5
Policy_A_Direct,1,26,1,1,0.9273943305015564,False,True,False,CLASS_1,1.742,4.5
Policy_A_Direct,1,27,1,1,0.8480510711669922,False,True,False,CLASS_1,1.845,4.5
Policy_A_Direct,1,28,1,1,0.9871877431869507,False,True,False,CLASS_1,1.812,4.5
Policy_A_Direct,1,29,0,0,0.8687261343002319,False,True,False,CLASS_0,1.813,4.5
Policy_A_Direct,1,30,1,0,0.8832003474235535,False,False,True,CLASS_0,1.88,4.5
Policy_A_Direct,1,31,1,1,0.9461458921432495,False,True,False,CLASS_1,1.867,4.5
Policy_A_Direct,1,32,1,1,0.8058123588562012,False,True,False,CLASS_1,1.831,4.5
Policy_A_Direct,1,33,0,0,0.9427645802497864,False,True,False,CLASS_0,1.804,4.5
Policy_A_Direct,1,34,0,0,0.9306565523147583,False,True,False,CLASS_0,1.871,4.5
Policy_A_Direct,1,35,1,1,0.9725767970085144,False,True,False,CLASS_1,1.873,4.5
Policy_A_Direct,1,36,1,1,0.9137798547744751,False,True,False,CLASS_1,1.909,4.5
Policy_A_Direct,1,37,0,0,0.6186552047729492,False,True,False,CLASS_0,1.877,4.5
Policy_A_Direct,1,38,1,1,0.8927064538002014,False,True,False,CLASS_1,1.846,4.5
Policy_A_Direct,1,39,0,0,0.5684725046157837,False,True,False,CLASS_0,1.854,4.5
Policy_A_Direct,1,40,1,1,0.993868887424469,False,True,False,CLASS_1,1.899,4.5
Policy_A_Direct,1,41,1,1,0.9338416457176208,False,True,False,CLASS_1,1.873,4.5
Policy_A_Direct,1,42,0,1,0.950896680355072,False,False,True,CLASS_1,1.884,4.5
Policy_A_Direct,1,43,0,1,0.6215922832489014,False,False,True,CLASS_1,1.97,4.5
Policy_A_Direct,1,44,1,0,0.7744717001914978,False,False,True,CLASS_0,1.983,4.5
Policy_A_Direct,1,45,0,1,0.6380831003189087,False,False,True,CLASS_1,1.971,4.5
Policy_A_Direct,1,46,0,0,0.6172513365745544,False,True,False,CLASS_0,1.993,4.5
Policy_A_Direct,1,47,0,0,0.6234208941459656,False,True,False,CLASS_0,1.968,4.5
Policy_A_Direct,1,48,1,1,0.8234827518463135,False,True,False,CLASS_1,1.946,4.5
Policy_A_Direct,1,49,0,1,0.7477593421936035,False,False,True,CLASS_1,1.936,4.5
Policy_A_Direct,1,50,0,0,0.9733074307441711,False,True,False,CLASS_0,1.929,4.5
Policy_A_Direct,1,51,1,1,0.6755869388580322,False,True,False,CLASS_1,2.062,4.5
Policy_A_Direct,1,52,1,1,0.9916437268257141,False,True,False,CLASS_1,2.05,4.5
Policy_A_Direct,1,53,1,1,0.9215519428253174,False,True,False,CLASS_1,2.089,4.5
Policy_A_Direct,1,54,0,0,0.6203435659408569,False,True,False,CLASS_0,2.026,4.5
Policy_A_Direct,1,55,1,0,0.5153688192367554,False,False,True,CLASS_0,2.185,4.5
Policy_A_Direct,1,56,1,0,0.5101109147071838,False,False,True,CLASS_0,2.057,4.5
Policy_A_Direct,1,57,1,1,0.9161600470542908,False,True,False,CLASS_1,2.121,4.5
Policy_A_Direct,1,58,0,1,0.8283095359802246,False,False,True,CLASS_1,2.362,4.5
Policy_A_Direct,1,59,1,1,0.750865638256073,False,True,False,CLASS_1,2.418,4.5
Policy_A_Direct,1,60,0,1,0.9509005546569824,False,False,True,CLASS_1,2.301,4.5
Policy_A_Direct,1,61,1,1,0.8864038586616516,False,True,False,CLASS_1,2.529,4.5
Policy_A_Direct,1,62,0,0,0.8737074732780457,False,True,False,CLASS_0,2.384,4.5
Policy_A_Direct,1,63,1,1,0.9459472298622131,False,True,False,CLASS_1,2.453,4.5
Policy_A_Direct,1,64,1,1,0.6641318202018738,False,True,False,CLASS_1,2.414,4.5
Policy_A_Direct,1,65,1,0,0.5745720863342285,False,False,True,CLASS_0,2.734,4.5
Policy_A_Direct,1,66,0,0,0.7294442653656006,False,True,False,CLASS_0,2.658,4.5
Policy_A_Direct,1,67,0,0,0.8593921661376953,False,True,False,CLASS_0,2.705,4.5
Policy_A_Direct,1,68,0,0,0.919308066368103,False,True,False,CLASS_0,2.714,4.5
Policy_A_Direct,1,69,0,0,0.9869428873062134,False,True,False,CLASS_0,2.671,4.5
Policy_A_Direct,1,70,0,1,0.5663244128227234,False,False,True,CLASS_1,3.471,4.5
Policy_A_Direct,1,71,1,0,0.7267612218856812,False,False,True,CLASS_0,2.697,4.5
Policy_A_Direct,1,72,1,1,0.9625755548477173,False,True,False,CLASS_1,2.648,4.5
Policy_A_Direct,1,73,1,1,0.9632573127746582,False,True,False,CLASS_1,2.603,4.5
Policy_A_Direct,1,74,0,0,0.9094752669334412,False,True,False,CLASS_0,2.631,4.5
Policy_A_Direct,1,75,0,0,0.7292727828025818,False,True,False,CLASS_0,2.7,4.5
Policy_A_Direct,1,76,1,0,0.5682398080825806,False,False,True,CLASS_0,2.693,4.5
Policy_A_Direct,1,77,1,0,0.5798333883285522,False,False,True,CLASS_0,2.494,4.5
Policy_A_Direct,1,78,0,0,0.7337201833724976,False,True,False,CLASS_0,2.53,4.5
Policy_A_Direct,1,79,0,0,0.9847502708435059,False,True,False,CLASS_0,2.664,4.5
Policy_A_Direct,1,80,1,1,0.9110186696052551,False,True,False,CLASS_1,2.561,4.5
Policy_A_Direct,1,81,1,1,0.9730628132820129,False,True,False,CLASS_1,2.582,4.5
Policy_A_Direct,1,82,1,1,0.8257232904434204,False,True,False,CLASS_1,2.767,4.5
Policy_A_Direct,1,83,1,1,0.672974169254303,False,True,False,CLASS_1,2.485,4.5
Policy_A_Direct,1,84,0,0,0.9928653240203857,False,True,False,CLASS_0,2.522,4.5
Policy_A_Direct,1,85,1,1,0.7664133310317993,False,True,False,CLASS_1,2.643,4.5
Policy_A_Direct,1,86,0,0,0.6550378203392029,False,True,False,CLASS_0,2.552,4.5
